--- 更新时间---,2017/08/27-20,-- 浓度 ---
o38,co,pm10,sitename,pm101,so2,siteid,no2,pm251,o3,pm25
－,0.3,33.4,普陀监测站,30.0,5.0,201,22.0,15.0,59.0,14.7
－,0.5,38.8,杨浦四漂,35.0,5.0,209,21.0,11.0,38.0,13.6
－,0.8,30.9,卢湾师专附小,31.0,6.0,185,21.0,15.0,45.0,14.8
－,0.6,31.3,*青浦淀山湖,25.0,8.0,203,27.0,17.0,55.0,16.0
－,0.4,31.1,虹口凉城,21.0,7.0,215,23.0,20.0,53.0,13.8
－,0.7,28.0,静安监测站,29.0,7.0,183,16.0,15.0,56.0,14.9
－,0.6,30.5,徐汇上师大,35.0,6.0,207,33.0,13.0,55.0,13.2
－,0.4,33.2,浦东川沙,36.0,8.0,193,40.0,17.0,31.0,13.0
－,0.4,32.2,浦东张江,25.0,9.0,195,17.0,12.0,47.0,15.8
－,0.4,30.4,浦东监测站,21.0,7.0,228,15.0,12.0,56.0,8.9
－,0.5,32.0,全市平均,29.2,6.7,0,23.1,14.4,48.9,13.6
-- 实时空气质量指数 ---
o38,sy,co,pm10,zk,sitename,o3,so2,siteid,no2,dj,aqi,pm25
－,－,4,30,优,普陀监测站,19,2,201,11,一级,30,22
－,－,6,35,优,杨浦四漂,12,2,209,11,一级,35,16
－,－,9,31,优,卢湾师专附小,15,3,185,11,一级,31,22
－,－,7,25,优,*青浦淀山湖,18,3,203,14,一级,25,25
－,－,5,21,优,虹口凉城,17,3,215,12,一级,29,29
－,－,8,29,优,静安监测站,18,3,183,8,一级,29,22
－,－,7,35,优,徐汇上师大,18,3,207,17,一级,35,19
－,－,5,36,优,浦东川沙,10,3,193,20,一级,36,25
－,－,5,25,优,浦东张江,15,3,195,9,一级,25,18
－,－,5,21,优,浦东监测站,18,3,228,8,一级,21,18
－,－,6,29,优,全市平均,16,3,0,12,一级,29,20
