time,co,sitename,siteid,no2,pm25
2017/10/17 00,0.3,普陀监测站,201,20.0,5.6
2017/10/17 00,0.5,杨浦四漂,209,14.0,7.7
2017/10/17 00,0.5,卢湾师专附小,185,16.0,8.5
2017/10/17 00,0.4,*青浦淀山湖,203,18.0,7.0
2017/10/17 00,0.6,虹口凉城,215,22.0,9.5
2017/10/17 00,0.6,静安监测站,183,24.0,8.8
2017/10/17 00,0.6,徐汇上师大,207,25.0,8.1
2017/10/17 00,0.5,浦东川沙,193,11.0,7.6
2017/10/17 00,0.4,浦东张江,195,16.0,8.3
2017/10/17 00,0.4,浦东监测站,228,18.0,5.0
2017/10/17 00,0.5,全市平均,0,18.4,7.6
time,co,sitename,siteid,no2,pm25
2017/10/17 01,0.3,普陀监测站,201,23.0,5.8
2017/10/17 01,0.5,杨浦四漂,209,22.0,8.0
2017/10/17 01,0.5,卢湾师专附小,185,21.0,8.8
2017/10/17 01,0.5,*青浦淀山湖,203,20.0,7.4
2017/10/17 01,0.6,虹口凉城,215,18.0,9.5
2017/10/17 01,0.5,静安监测站,183,20.0,9.0
2017/10/17 01,0.6,徐汇上师大,207,16.0,8.4
2017/10/17 01,0.5,浦东川沙,193,11.0,7.9
2017/10/17 01,0.4,浦东张江,195,21.0,8.5
2017/10/17 01,0.3,浦东监测站,228,17.0,5.3
2017/10/17 01,0.5,全市平均,0,18.8,7.9
time,co,sitename,siteid,no2,pm25
2017/10/17 02,0.3,普陀监测站,201,20.0,6.1
2017/10/17 02,0.5,杨浦四漂,209,18.0,8.5
2017/10/17 02,0.5,卢湾师专附小,185,19.0,9.2
2017/10/17 02,0.5,*青浦淀山湖,203,22.0,7.8
2017/10/17 02,0.6,虹口凉城,215,18.0,9.5
2017/10/17 02,0.5,静安监测站,183,20.0,9.2
2017/10/17 02,0.6,徐汇上师大,207,17.0,8.6
2017/10/17 02,0.5,浦东川沙,193,10.0,8.4
2017/10/17 02,0.4,浦东张江,195,20.0,8.5
2017/10/17 02,0.3,浦东监测站,228,13.0,5.5
2017/10/17 02,0.5,全市平均,0,17.2,8.1
time,co,sitename,siteid,no2,pm25
2017/10/17 03,0.3,普陀监测站,201,21.0,6.3
2017/10/17 03,0.5,杨浦四漂,209,18.0,8.8
2017/10/17 03,0.5,卢湾师专附小,185,14.0,9.4
2017/10/17 03,0.5,*青浦淀山湖,203,23.0,8.4
2017/10/17 03,0.6,虹口凉城,215,18.0,9.9
2017/10/17 03,0.5,静安监测站,183,21.0,9.4
2017/10/17 03,0.6,徐汇上师大,207,13.0,9.0
2017/10/17 03,0.5,浦东川沙,193,11.0,8.4
2017/10/17 03,0.4,浦东张江,195,21.0,8.8
2017/10/17 03,0.3,浦东监测站,228,22.0,5.6
2017/10/17 03,0.5,全市平均,0,17.7,8.4
time,co,sitename,siteid,no2,pm25
2017/10/17 04,0.3,普陀监测站,201,18.0,6.6
